code;libelle français;libelle anglais
AAV2020-546;"Langeac";"undefined"
AAV2020-568;"Blancs-Coteaux";"undefined"
AAV2020-581;"Nonancourt - Saint-Lubin-des-Joncherets";"undefined"
AAV2020-620;"Salbris";"undefined"
AAV2020-595;"Sées";"undefined"
AAV2020-506;"Gramat";"undefined"
AAV2020-517;"Bitche";"undefined"
AAV2020-607;"Saint-Fulgent";"undefined"
AAV2020-547;"Fruges";"undefined"
AAV2020-569;"Montoire-sur-le-Loir";"undefined"
AAV2020-556;"Pleslin-Trigavou";"undefined"
AAV2020-633;"Salins-les-Bains";"undefined"
AAV2020-582;"Charolles";"undefined"
AAV2020-596;"Chazelles-sur-Lyon";"undefined"
AAV2020-621;"Gourin";"undefined"
AAV2020-608;"Port-la-Nouvelle";"undefined"
AAV2020-570;"Marckolsheim";"undefined"
AAV2020-548;"Saint-Mihiel";"undefined"
AAV2020-507;"Condé-en-Normandie";"undefined"
AAV2020-634;"Cerizay";"undefined"
AAV2020-557;"Locminé";"undefined"
AAV2020-583;"Lectoure";"undefined"
AAV2020-597;"Phalsbourg";"undefined"
AAV2020-622;"Mourmelon-le-Grand";"undefined"
AAV2020-518;"Argelès-Gazost";"undefined"
AAV2020-571;"Bohain-en-Vermandois";"undefined"
AAV2020-609;"Miramont-de-Guyenne";"undefined"
AAV2020-646;"Niederbronn-les-Bains";"undefined"
AAV2020-647;"Durtal";"undefined"
AAV2020-635;"Varennes-sur-Allier";"undefined"
AAV2020-584;"Revin";"undefined"
AAV2020-598;"Fayence";"undefined"
AAV2020-558;"Uzerche";"undefined"
AAV2020-572;"Plateau d'Hauteville";"undefined"
AAV2020-610;"Bruyères";"undefined"
AAV2020-648;"Luneray";"undefined"
AAV2020-585;"Morestel";"undefined"
AAV2020-559;"Rouffach";"undefined"
AAV2020-611;"Reichshoffen";"undefined"
AAV2020-660;"Suippes";"undefined"
AAV2020-573;"Carignan";"undefined"
AAV2020-623;"Bonneval";"undefined"
AAV2020-661;"Tartas";"undefined"
AAV2020-636;"Gorron";"undefined"
AAV2020-649;"Saint-Georges-de-Reneins";"undefined"
AAV2020-519;"Casteljaloux";"undefined"
AAV2020-586;"Breteuil";"undefined"
AAV2020-612;"Laragne-Montéglin";"undefined"
AAV2020-560;"Gaillon";"undefined"
AAV2020-599;"Argentat-sur-Dordogne";"undefined"
AAV2020-574;"Saint-Calais";"undefined"
AAV2020-624;"Le Lude";"undefined"
AAV2020-637;"Peyrehorade";"undefined"
